package name,version,repo URL,last published
@atlaskit/teams-app-internal-analytics,1.31.0,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T22:53:19.001Z
@atlassian/mcp-compressor,0.23.0,https://github.com/atlassian-labs/mcp-compressor,2026-05-21T21:52:20.310Z
@atlaskit/link-client-extension,6.1.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T17:12:46.471Z
@atlaskit/json-ld-types,1.5.0,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T17:12:46.325Z
@atlaskit/eslint-plugin-platform,2.10.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T14:59:10.528Z
@atlaskit/eslint-plugin-ui-styling-standard,1.6.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T14:59:06.176Z
@atlaskit/editor-synced-block-provider,6.6.7,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T14:59:01.574Z
@atlaskit/eslint-utils,2.0.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T14:58:59.335Z
@atlaskit/ufo-experience-key,0.2.1,,2026-05-21T11:00:14.953Z
@atlaskit/link-picker,5.2.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T11:00:07.390Z
@atlaskit/link-test-helpers,10.2.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T11:00:03.859Z
@atlaskit/media-file-preview,0.17.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T11:00:02.892Z
@atlaskit/editor-core,219.9.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T11:00:02.038Z
@atlaskit/editor-plugin-layout,10.4.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T10:59:58.812Z
@atlaskit/util-service-support,6.4.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T10:59:57.846Z
@atlaskit/collab-provider,19.0.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T10:59:49.402Z
@atlaskit/editor-plugin-ufo,10.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T10:59:48.790Z
@atlaskit/afm-i18n-platform-ai-mate-rovo-agent-components,2.131.0,,2026-05-21T10:18:40.618Z
@atlaskit/afm-i18n-platform-bitbucket-panel,2.131.0,,2026-05-21T10:18:34.534Z
@atlaskit/afm-i18n-platform-editor-editor-common,2.131.0,,2026-05-21T10:18:31.221Z
@atlaskit/afm-i18n-platform-editor-editor-core,2.131.0,,2026-05-21T10:18:21.313Z
@atlaskit/afm-i18n-platform-editor-renderer,2.131.0,,2026-05-21T10:18:15.775Z
@atlaskit/afm-i18n-platform-elements-anonymous-assets,2.131.0,,2026-05-21T10:18:10.394Z
@atlaskit/afm-i18n-platform-elements-emoji,2.131.0,,2026-05-21T10:18:04.256Z
@atlaskit/afm-i18n-platform-elements-mention,2.131.0,,2026-05-21T10:17:58.521Z
@atlaskit/afm-i18n-platform-elements-reactions,2.131.0,,2026-05-21T10:17:53.566Z
@atlaskit/afm-i18n-platform-elements-share,2.131.0,,2026-05-21T10:17:47.577Z
@atlaskit/afm-i18n-platform-elements-status,2.131.0,,2026-05-21T10:17:41.333Z
@atlaskit/afm-i18n-platform-elements-task-decision,2.131.0,,2026-05-21T10:17:36.126Z
@atlaskit/afm-i18n-platform-elements-user-picker,2.131.0,,2026-05-21T10:17:31.292Z
@atlaskit/afm-i18n-platform-jql-jql-editor,2.131.0,,2026-05-21T10:17:25.429Z
@atlaskit/afm-i18n-platform-linking-platform-link-create,2.131.0,,2026-05-21T10:17:20.048Z
@atlaskit/afm-i18n-platform-linking-platform-link-datasource,2.131.0,,2026-05-21T10:17:14.544Z
@atlaskit/afm-i18n-platform-linking-platform-link-picker,2.131.0,,2026-05-21T10:17:06.908Z
@atlaskit/afm-i18n-platform-linking-platform-smart-card,2.131.0,,2026-05-21T10:17:01.408Z
@atlaskit/afm-i18n-platform-media-media-ui,2.131.0,,2026-05-21T10:16:54.495Z
@atlaskit/afm-i18n-platform-people-and-teams-focused-task-close-account,2.131.0,,2026-05-21T10:16:48.294Z
@atlaskit/afm-i18n-platform-people-and-teams-profilecard,2.131.0,,2026-05-21T10:16:42.456Z
@atlaskit/afm-i18n-platform-people-and-teams-teams-public,2.131.0,,2026-05-21T10:16:36.616Z
@atlaskit/afm-i18n-platform-smart-experiences-smart-hooks,2.132.0,,2026-05-21T10:16:30.961Z
@atlaskit/afm-i18n-platform-smart-experiences-smart-user-picker,2.132.0,,2026-05-21T10:16:25.741Z
@atlaskit/afm-i18n-platform-team-central-give-kudos,2.132.0,,2026-05-21T10:16:20.372Z
@atlaskit/afm-i18n-platform-web-platform-feedback-collector,2.132.0,,2026-05-21T10:16:16.071Z
@atlaskit/editor-toolbar,1.7.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T09:00:21.504Z
@atlaskit/editor-plugin-block-menu,9.2.6,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T09:00:19.307Z
@atlaskit/avatar,25.15.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T09:00:16.845Z
@atlaskit/adf-utils,19.30.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T09:00:13.414Z
@atlaskit/editor-plugin-code-block,12.1.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T09:00:10.936Z
@atlaskit/forge-react-types,1.6.1,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T02:56:21.380Z
@atlaskit/editor-plugin-block-type,14.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T02:56:19.915Z
@atlaskit/editor-plugin-selection-toolbar,11.3.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:21:14.127Z
@atlaskit/editor-plugin-placeholder,10.2.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:21:09.773Z
@atlaskit/editor-plugin-media,12.7.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:21:05.459Z
@atlaskit/editor-plugin-quick-insert,10.4.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:59.263Z
@atlaskit/editor-plugin-primary-toolbar,11.1.2,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T00:20:55.391Z
@atlaskit/editor-plugin-paste,11.2.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:54.880Z
@atlaskit/editor-plugin-insert-block,11.3.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:49.372Z
@atlaskit/editor-plugin-selection,10.1.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:48.592Z
@atlaskit/editor-plugin-hyperlink,12.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:46.732Z
@atlaskit/editor-plugin-user-preferences,8.2.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:46.010Z
@atlaskit/editor-plugin-highlight,10.1.4,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T00:20:44.009Z
@atlaskit/editor-plugin-toolbar-lists-indentation,11.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:42.928Z
@atlaskit/editor-plugin-track-changes,9.1.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:42.771Z
@atlaskit/editor-plugin-floating-toolbar,12.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:42.476Z
@atlaskit/editor-plugin-help-dialog,10.2.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:42.459Z
@atlaskit/editor-tables,2.10.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:40.583Z
